ts,id.orig_h,id.resp_h,proto,service,duration,orig_bytes,resp_bytes,conn_state,log_type,query,qtype_name,rcode_name
1740757651.875331,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757651.875392,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757657.927726,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757657.927759,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757687.978543,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757687.978593,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757694.733246,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757694.73332,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757705.68571,10.0.1.2,192.168.1.128,tcp,-,3.019347,0.0,0.0,S0,conn,,,
1740757703.939662,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757703.939694,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757709.893743,10.0.1.2,34.120.195.249,tcp,ssl,0.126854,1587.0,1333.0,SF,conn,,,
1740757710.678711,10.0.1.2,162.159.135.232,tcp,ssl,0.054657,723.0,212.0,SF,conn,,,
1740757710.70928,10.0.1.2,162.159.135.232,tcp,ssl,0.05036,723.0,740.0,SF,conn,,,
1740757706.731714,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757706.731747,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757706.735514,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757706.737825,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757706.895564,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757706.897771,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757706.957716,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757706.960235,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757709.852248,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757709.852417,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757709.919326,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757709.922812,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757709.925477,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757709.951545,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757709.988464,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757709.988501,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757710.027843,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757710.033905,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757710.098496,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757710.098528,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757715.47836,10.0.1.2,162.159.130.232,tcp,ssl,0.055318,732.0,212.0,SF,conn,,,
1740757710.642123,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757710.645024,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757710.940303,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757710.942576,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757711.788581,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757711.791395,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757712.648146,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757712.64944,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757718.161288,10.0.1.2,52.112.84.162,tcp,-,0.018682,0.0,0.0,RSTO,conn,,,
1740757714.587576,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757714.587576,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
1740757714.59917,10.0.1.2,192.168.1.91,udp,dns,0.0,0.0,0.0,S0,conn,,,
