ts,uid,id.orig_h,id.resp_h,duration,orig_bytes,resp_bytes,history,is_incomplete_conn,log_type,hour,day_of_week,proto_udp,service_dhcp,conn_state_SHR,requests_per_window,history_entropy
1744475296.5431,C57wcG4hTEVL0dwA27,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,9,0.9182958340544896
1744475302.310205,CBUJNw1FvPy2TEPMN,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,9,0.9182958340544896
1744475307.322505,CtC0euMtdAgjBuThb,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,9,0.9182958340544896
1744475312.492236,C5fWDM1lUd6HjMCYa1,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,9,0.9182958340544896
1744475317.820361,CLTwTF3cp5iwYKCmmc,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,9,0.9182958340544896
1744475323.697613,CVywB31Gh2MNm55Nze,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,9,0.9182958340544896
1744475328.87534,CyoEnHRDMF3zSVO7g,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,9,0.9182958340544896
1744475334.305102,CsB6R71GYIzpj2p7nd,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,9,0.9182958340544896
1744475339.33782,CBH0KB3DSbgeCgkc44,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,9,0.9182958340544896
1744475345.13762,C7AqNC4a83Nrmh1rVg,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475350.749396,CTHnbwKdiCCeOcaai,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475356.388785,CyrDQ44Sq95cdGjDV8,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475362.297235,Cjkxo85oTS0hzsthh,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475367.367195,CxadSq46Y1YTH9ezt8,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475372.393133,CKSuG64OgccVZRMcG1,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475377.430031,Cb78zD2KullGriXmph,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475382.672495,C23R1Z1Y22aGn63Ikc,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475387.816602,ChcdBhFfOpzVBU1ti,192.168.122.1,192.168.122.224,0.0,0.0,0.0,C,0,conn,16,5,False,False,False,12,-0.0
1744475387.816636,CqyRsW2bTcfCzKxr27,192.168.122.1,192.168.122.224,0.0,0.0,0.0,^cCC,0,conn,16,5,False,False,False,12,1.5
1744475393.223263,Cum0KP1EvSpCilvVLa,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475398.752541,CpxRnJ3AYQYggfS8h2,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475404.527451,CoE7PJ2DhFlv5Q5PZf,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475410.325366,C1n4VXGBk0DpSx9A7,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475415.920022,Cq71LZo57uXkYVyL,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475421.125481,CEPyQW11HoMbUd0q4i,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475426.669338,CUqoEe3sygdf2fZFO3,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475433.012345,CjseCy12DecCjX2cm3,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475438.907705,CynSdB1rk91nmwWcdh,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475444.724211,CaEvc5qGqagbqWtX1,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
